Alternative New Code,D365 Name,Serial Required
2020015210,"SAFETY LIGHTS, CAR, DNI 4011, GIROFLEX",no
2050019280,"CLAMP, CARBIDE, LCGR-4, ISCAR",no
1030000720,"GREASE, API",no
1030000730,"GREASE, MOBIL MP",no
1020000100,"OIL SAMPLE KIT, OIL ANALYSIS",no
1050008810,"CHISEL BLADE, DGFH 32-5",no
2070034960,"FILE, ROTARY, CYLINDRICAL, 00616/6",no
1030003250,"PENETRATING LIQUID, VP30 / SKL-WP",no
1050002660,"DE-BURRING DISC, N220, NORTON",no
1050003940,"SANDPAPER, GRIT 50, 4"", MINIKONTOR",no
2070030290,"HOSE, FOR TORCH, 8MM",no
1040000010,WELDING LEG GUARD,no
1120001030,"MARKER, WHITEBOARD, BLACK",no
1120001040,"MARKER, WHITEBOARD, RED",no
2070011270,"LOCKING PIN, 12X50MM",no
2070011280,"LOCKING PIN, 16X90MM",no
2070024660,"GREASE PIN, 3/8""",no
1010000530,PACKING PLASTIC FILM,no
1050004040,"SAW BLADE, 1 X 4-6D BI L",no
1030000090,"CHEMICAL ADDITIVE, SM 2000",no
1030002240,"PAINT, EPOXY, GREY, 3.6L",no
2070039820,"TORCH, WELDING, MIG",no
1010001290,"RAG, INDUSTRIAL, 50KG",no
1030003620,"ADHESIVE, LOCTITE 567, 250ML",no
1050008470,"HOLDER TIERRA, 500 AMP, LENCO, TENAZA",no
1050008480,"HOLDER, ELECTRODE, 250 AMP",no
1050007920,"WELDING ROD, NI-99, 3/32""",no
1050007930,"WELDING ROD, SUPER ALOY, 5/32""",no
1050008490,"COPPER NOZZLE 5/8 TW, MIG",no
1050002220,"FLASHBACK, ACETELEEN, TORCH SIDE",no
1050008500,BOILERMAKER FLINT,no
1050003510,TORCH NOZZLE CLEANER,no
1050000150,"CUTTING DISC, METAL, 350mm",no
1050007310,Soldadura Nichroelastic 46 1/8'' (2000365),no
1050008230,"WELDING WIRE, HARD FACING, 1.6mm, 176116-K3-00",no
1050007240,"WELDING EARTH CLAMP, HEAVY DUTY",no
1050008510,BOILERMAKER CHALK,no
1040006780,WELDING HEAD FLAP,no
1050008520,BOILERMAKER TORCH LIGHTER,no
2050019290,"CLAMP, PARALLEL HOSE, 1/2""",no
2050019300,"CLAMP, OETIKER, 12MM-18MM",no
1050002230,"FLASHBACK, OXY, TORCH SIDE",no
1050002240,"FLASHBACK, OXY, REGULATOR SIDE",no
2020011660,"NEGATIVE CLAMP, 500A",no
1050008240,"WELDING WIRE, AWS AS 7/C, 1.2 MM",no
1050003240,CUTTING TORCH NOZZLE ANME 1/16,no
1050003520,CUTTING TORCH NOZZLE ANME 3/64,no
1050007430,"WELDING ELECTRODE, E8018, 3.25 MM",no
1050003530,"HEAT NOZZLE, ACETYLENE",no
1050000160,"CUTTING DISC, ENTRY 1/4"", MOTOTOOL",no
1050007300,"LINER MIG, 400 AMP, 2.4MM",no
2050012280,"PRESSURE GAUGE, VERTICAL, 1 MPA, 200PSI, 10 BAR, 1/8"", NPT",no
1030002250,"SPRAY, SILICON UNIVERSAL, NOSTICK",no
1050007940,"WELDING ROD, ROLL, 7018, 2.4MM, 27KG",no
1050008250,"WELDING WIRE, UTP, 6010, 1/8",no
